ps_code,mp_code,mp_name,boiler_name,boiler_type,creater_time,burn_ability,data_status,open_time,create_time,update_time,stopopen_time,stopopen_status,stopopen_reason,success_time
CBB517961CECB27CCA03D605F9736390,CBB517961CECB27CD88BA47E50DF8AD2,1号焚烧炉,1号焚烧炉,炉排炉,2019-09-28,300,0,2020-06-10 00:00:00,2020-05-20 09:35:08,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
CBB517961CECB27CCA03D605F9736390,CBB517961CECB27C2C767C6B127F149D,2号焚烧炉,2号焚烧炉,炉排炉,2019-10-20,300,0,2020-06-10 00:00:00,2020-06-04 09:35:05,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FADFA38CD61FDA05F47,废气排口1,废气排口1,炉排炉,2015-04-01,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD1B0F39981489AAA4,废气排口2,废气排口2,炉排炉,2015-04-01,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
E07A3BCFC8AB4FAD8AB77E179A35100A,E07A3BCFC8AB4FAD277AB0945C47FC5E,废气排口3,废气排口3,炉排炉,2019-07-26,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
CE1CB6A0B9A78F11B4A9A33D38B5B9DE,CE1CB6A0B9A78F11535DDD0F475BDA31,德润环保,1#,炉排炉,2018-09-02,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
7C3F449636EBEAE1FC52D0DE92CFC2F1,7C3F449636EBEAE1378213C1ACC77CCD,1号烟囱出口,1#,炉排炉,2019-06-21,250,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
7C3F449636EBEAE1FC52D0DE92CFC2F1,7C3F449636EBEAE125A434504B0D59DC,2号烟囱出口,2#,炉排炉,2019-06-21,250,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
2A6045384F72F941602CB5B658021008,2A6045384F72F941023ABED85DAC36F1,聊城康达垃圾1号,聊城康达垃圾1号,炉排炉,2014-08-29,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
2A6045384F72F941602CB5B658021008,2A6045384F72F94105081CFF1F79C7BB,聊城康达垃圾2号,聊城康达垃圾2号,炉排炉,2014-08-29,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
2A6045384F72F941602CB5B658021008,E286560EC476C0D042552DF84DC63E26E23ADCA3B82B2C490244921869CA4185508B80A19B396E65,康达垃圾3号焚烧,康达垃圾3号焚烧,炉排炉,2022-06-13,400,0,2022-08-26 00:00:00,2022-08-26 09:35:06,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398DD31F043A1C56ED70,3号烟气排放口,3号烟气排放口,炉排炉,2020-12-02,1000,0,2021-02-02 00:00:00,2021-01-30 09:35:08,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
